"","year","kr_released","kr_screened","kr_sales","kr_audience","kr_market_share","ovs_released","ovs_screened","ovs_sales","ovs_audience","ovs_market_share","total_released","total_screened","total_sales","total_audience"
"1",2004,74,95,239143250406,37741433,0.545,206,205,201585655800,31513193,0.455,280,300,440728906206,69254626
"2",2005,82,116,451707494794,71346379,0.578,224,298,328657484673,52005680,0.422,306,414,780364979467,123352059
"3",2006,110,159,568090373200,91745620,0.636,241,322,324351764800,52510415,0.364,351,481,892442138000,144256035
"4",2007,111,183,479858559900,75791003,0.499,282,428,485628064638,76231989,0.501,393,611,965486624538,152022992
"5",2008,110,252,407327224301,62047324,0.421,270,551,554126072950,85381315,0.579,380,803,961453297251,147428639
"6",2009,119,211,526482459500,75644847,0.487,243,502,556713545450,79753807,0.513,362,713,1083196004950,155398654
"7",2010,142,275,508426689450,68843175,0.466,288,521,648828048800,78916039,0.534,430,796,1157254738250,147759214
"8",2011,152,334,613722968100,82868189,0.519,290,607,622076496100,76856276,0.481,442,941,1235799464200,159724465
"9",2012,176,389,838238171234,114911591,0.59,465,842,616902183201,79978996,0.41,641,1231,1455140354435,194890587
"10",2013,183,491,909932880105,127291781,0.597,724,1184,641419104616,86059249,0.403,907,1675,1551351984721,213351030
"11",2014,217,515,820639569302,107703922,0.501,878,1436,843592979858,107365036,0.499,1095,1951,1664232549160,215068958
"12",2015,257,584,879658901660,112941882,0.52,946,1554,835842670018,104357641,0.48,1203,2138,1715501571678,217299523
"13",2016,337,699,927865027723,116555889,0.537,1236,1909,815329396647,100470293,0.463,1573,2608,1743194424370,217026182
"14",2017,495,885,902667356338,113907067,0.518,1271,2057,853910494775,105969160,0.482,1766,2942,1756577851113,219876227
"15",2018,661,1084,912746432308,110149287,0.509,1210,2080,901217376930,106235982,0.491,1871,3164,1813963809238,216385269
"16",2019,697,1087,970793433451,115621865,0.51,1247,1947,943195671617,111056915,0.49,1944,3034,1913989105068,226678780
